Data,Ora,Locali,ptLocali,ptOspiti,Ospiti,Palestra,gmap
2022-10-14,21:15,Pallacanestro Noventa,94,49,Pallacanestro Arcella,Palestra Comunale,"https://maps.google.com?q=+Via+XXV+Aprile,+2+NOVENTA+PADOVANA+PD"
2022-10-21,21:15,Pallacanestro Arcella,55,76,Dolo Dolphins,Palestra L. P. Barion,"https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD"
2022-10-28,21:00,Selvazzano Basket,59*,63*,Pallacanestro Arcella,Palasport 'A. Ceron',"https://maps.google.com?q=+Via+Euganea,+51+SELVAZZANO+DENTRO+PD"
2022-11-04,21:15,Pallacanestro Arcella,50*,56*,USMA Caselle,Palestra L. P. Barion,"https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD"
2022-11-10,21:15,Don Bosco Arcobaleno,55,50,Pallacanestro Arcella,Palasport 'Don Bosco',"https://maps.google.com?q=+Via+Forcellini+PADOVA+PD)"
2022-11-18,21:15,Pallacanestro Arcella,61,74,Virtus Cave,Palestra L. P. Barion,"https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD"
2022-11-25,21:15,Atletico Modigliani,55,54,Pallacanestro Arcella,Palestra Ist. 'Modigliani',"https://maps.google.com?q=+Via+Bassi,+6+PADOVA+PD"
2022-12-02,21:15,Pallacanestro Arcella,47,65,Pallacanestro Noventa,Palestra L. P. Barion,"https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD"
2022-12-16,20:45,Dolo Dolphins,76,59,Pallacanestro Arcella,Palestra Ist. 'G. Galilei',"https://maps.google.com?q=+Via+C.+Frasio,+25+DOLO+VE"
2022-12-23,21:15,Pallacanestro Arcella,60,66,Selvazzano Basket,Palestra L. P. Barion,"https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD"
2023-01-27,21:15,USMA Caselle,,,Pallacanestro Arcella,Palestra Kolbe,"https://maps.google.com?q=+Via+Ceresina+13+'Loc.+Caselle'+SELVAZZANO+DENTRO+PD"
2023-02-01,21:15,Pallacanestro Arcella,,,Don Bosco Arcobaleno,Palestra L. P. Barion,"https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD"
2023-02-10,21:30,Virtus Cave,,,Pallacanestro Arcella,Palestra Comunale,"https://maps.google.com?q=+Via+Rovigo,+1+RUBANO+PD"
2023-02-15,21:15,Pallacanestro Arcella,,,Atletico Modigliani,Palestra L. P. Barion,"https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD"
